barcode,Xcoord,Ycoord,Zcoord
cell198,2842.285714285714,613.8095238095239,0
cell199,2583.8070175438597,873.3859649122807,0
cell200,1451.8333333333333,2104.7105263157896,0
cell201,1620.9636363636364,1920.5272727272727,0
cell202,3051.3203125,399.298828125,0
cell203,2212.7023809523807,1370.095238095238,0
cell204,2904.310810810811,643.8918918918919,0
cell205,1759.5925925925926,1749.1851851851852,0
cell206,1557.25,1953.75,0
cell207,2697.479674796748,866.0325203252032,0
cell208,3074.3022598870057,506.3785310734463,0
cell209,1750.6603773584907,1817.867924528302,0
cell210,1867.323076923077,1703.1692307692308,0
cell211,2746.521739130435,826.6521739130435,0
cell212,3549.733333333333,22.8,0
cell213,3401.3783783783783,135.44594594594594,0
cell214,1521.55,2043.2,0
cell215,3481.1428571428573,91.08571428571429,0
cell216,3327.675675675676,230.96525096525096,0
cell217,3446.7049180327867,164.70491803278688,0
cell218,1421.8541666666667,2147.1666666666665,0
cell219,1424.0454545454545,2227.318181818182,0
cell220,1418.9358974358975,2211.4358974358975,0
cell221,1670.2575757575758,1936.9621212121212,0
cell222,2116.5433070866143,1486.5039370078741,0
cell223,3530.81884057971,38.48550724637681,0
cell224,2328.5476190476193,1304.9761904761904,0
cell226,1620.109375,2014.890625,0
cell227,1864.9512195121952,1794.4634146341464,0
cell228,2025.3636363636363,1614.1818181818182,0
cell229,1516.0,2135.2580645161293,0
cell230,3293.8372093023254,327.06976744186045,0
cell231,1744.5049261083743,1896.2487684729065,0
cell232,2077.505882352941,1568.0470588235294,0
cell233,2869.057971014493,717.0289855072464,0
cell234,3214.8039215686276,400.29411764705884,0
cell235,1918.9375,1716.7916666666667,0
cell236,2378.4333333333334,1326.3,0
cell237,3556.829268292683,81.9329268292683,0
cell238,3037.982905982906,590.7931623931624,0
cell239,2195.820224719101,1463.6966292134832,0
cell240,1473.7,2226.075,0
cell241,2337.4166666666665,1318.1666666666667,0
cell242,1806.1739130434783,1791.3188405797102,0
cell243,3020.3548387096776,665.9677419354839,0
cell245,3659.1666666666665,31.566666666666666,0
cell246,1776.129213483146,1988.8932584269662,0
cell247,1708.5942028985507,1983.7536231884058,0
cell248,3253.1645569620255,493.7848101265823,0
cell249,1691.3355481727574,2036.3687707641195,0
cell250,1563.32,2172.98,0
cell251,3364.153652392947,298.6297229219144,0
cell252,2322.153846153846,1394.2692307692307,0
cell253,2179.1650485436894,1553.8349514563106,0
cell254,1461.9160305343512,2279.5267175572517,0
cell255,3164.8845437616387,492.15270018621976,0
cell256,1493.5892857142858,2221.098214285714,0
cell257,2483.3809523809523,1238.857142857143,0
cell258,3001.703703703704,773.4074074074074,0
cell259,2032.9333333333334,1695.6,0
cell260,2324.404255319149,1451.787234042553,0
cell261,2515.317073170732,1193.9268292682927,0
cell262,2000.6666666666667,1776.030303030303,0
cell263,2995.2004008016033,762.9318637274549,0
cell264,1635.7540983606557,2128.8196721311474,0
cell265,2096.939130434783,1665.0695652173913,0
cell266,3557.285106382979,220.9787234042553,0
cell267,2550.728,1208.632,0
cell268,1629.5625,2144.875,0
cell269,1417.5833333333333,2321.1666666666665,0
cell270,3256.427135678392,463.96984924623115,0
cell272,3080.84,654.2,0
cell273,3195.8936170212764,606.8297872340426,0
cell274,3625.548387096774,81.96774193548387,0
cell275,1548.041095890411,2282.1917808219177,0
cell276,2296.3516483516482,1522.2362637362637,0
cell277,3152.6373626373625,631.9230769230769,0
cell279,1456.3181818181818,2340.2272727272725,0
cell280,1447.0666666666666,2401.3777777777777,0
cell281,1424.9259259259259,2443.4814814814813,0
cell282,3436.18,404.775,0
cell283,3751.4166666666665,57.0,0
cell284,3211.868613138686,596.8394160583941,0
cell285,2610.36,1196.6,0
cell286,1610.2,2207.0666666666666,0
cell287,2614.641025641026,1223.5726495726497,0
cell288,3685.230769230769,116.73076923076923,0
cell289,3445.0967741935483,461.258064516129,0
